,0,1,2,source
3564,sometimes the smallest things weigh us down,small stones that we can't help,admiring and palming,img2poems
3565,look at the tiny way,this lighter vein got inside,look at the heavy gray dome of its sky,img2poems
3566,boulder grain,planet dust,what fills the stones fills us,img2poems
3567,i remember or i have a feeling,i could be living somewhere with you,weighted down the way we aren't now,img2poems
3568,often the greatest things,those you'd think would be the heaviest,are the very ones that float,img2poems
3569,so i etched harmless in that ground of merds and moss,and to this day my people listen to strangers crying wares,with an intelligent ear remembering our grave old danger,img2poems
3570,to cry out more room,crack,like a shell heave between its crushing shores,img2poems
3571,that's how it is that's it throwing your jacket over your shoulders,like a towel and saying goodbye victoria goodbye sophie goodbye,lili goodbye sweetie take care be well hang in there see you soon,img2poems
3572,but soon to solo unfold all,those origami limbs to test,the inevitable debutante bawl,img2poems
3573,who could have fashioned the test that would have,predicted this success,who could have known,img2poems
3574,of our winter as though today,only she can see where she,goes and track where she's been,img2poems
3575,the hale,yellows pale once,they're plucked,img2poems
3576,or what i refer to as where,you look upon the place you,cannot return one broke on through,img2poems
3577,and by the time i have taken in the third,the second is likewise gone a blown-out candle now,a wavering line of acrid smoke,img2poems
3578,number one across,a four-letter word,for no longer,img2poems
3579,number one down,an eleven letter word,for gone,img2poems
3580,where one of the kids was handing out something that turned out,to be small pieces of orange peel something exotic we'd never,seen before which i smelled nibbled and finally ate for this poem,img2poems
3581,and that time rolls around for all of us,getting frustrated and mad because they meant,but did not know they meant themselves too,img2poems
3582,just like you i entered this world,mad and kicking and without you,it's precisely how i intend to go,img2poems
3583,we poked him through the clover,into a hole and then,we threw brown earth right over,img2poems
3584,through a pane of glass,that shivers when the wind kicks up,i watch my son walk away,img2poems
3585,though lowly its stem,this emerald gem,mates with the proudest that shadow the earth,img2poems
3586,beneath the trees' arsenical,sharp woodwind tunes heretical,blown like the wind's mane,img2poems
3587,and with his bound heart and his young eyes bent,and blind he feels her presence like shed scent,holding him body and life within its snare,img2poems
3588,my eyes are caked with dust of oat-fields at harvest-time,i am a blind man who stares across the hills seeking stack'd fields,of other harvesters,img2poems
3589,my ears are caked with dust of oat-fields at harvest-time,i am a deaf man who strains to hear the calls of other harvesters whose,throats are also dry,img2poems
3590,with an outward stroke of power intense your mighty arm goes forth,cleaving its way through waters that rise and roll ever a ceaseless vigil keeping,over the treasures beneath,img2poems
3591,my heart goes out to you of dauntless courage and spirit indomitable,and though my lips would speak my spirit forbids me to ask,is your heart as true as your arm,img2poems
3592,slicing this frozen sky know,where they are going,and want to get there,img2poems
3593,their women and homes forgotten,you can't,hear their screams from here but they're there,img2poems
3594,i forget,regardless i know that someone said,in a perfect universe we'd all be dead,img2poems
3595,but the lightning was as quick as it was loud,the clouds dispersed,and then so did the crowd,img2poems
3596,shrubbery thrashing to get in,lines all panes,long windows split in parallels,img2poems
3597,i make a knife of words,i sit here waiting,i play with crumbs,img2poems
3598,i,open ward at the elisabeth hospital berlin,my tongue is a spoon,img2poems
3599,once there was no language,for the weather just   the sky is low and birdless,or the sky is a box of wings,img2poems
3600,stubborn calendar of bone,last snow,now it must always be so,img2poems
3601,she's a mathematical wonder with so many calculations,kept alive in her head adding and subtracting,when everyone else is asleep,img2poems
3602,when we know we'll get some,thing from what,he takes away,img2poems
3603,late days,i want to drive to your grave,but i don't belong to it,img2poems
3604,northern follows jig,body flashes with strike dive,broken line floats up,img2poems
3605,i can't articulate,the agony of eagle singer's,children to them,img2poems
3606,walk naked before me,carrying a sheaf of sticks,it's the most honest thing a man can do,img2poems
3607,cynomyopsis cadavarena,on every tongue,they feed,img2poems
3608,i'm not in with this mystery,somebody steady me,cool ocean breezes don't make me laugh,img2poems
3609,i'm in with noisy metal little nils,a million apologies,i must have made more,img2poems
3610,this is cruising,at watch-me,miles-an-hour,img2poems
3611,a crow gliding over a ravine was,the sign his eyes were waiting for,they thought they were ready to cross,img2poems
3612,for years i have been here without a clear map,that hopes should dim as days go on above is,natural i suppose what do i know,img2poems
3613,i am dressed like one of them,the thick walls quake but stay soundproof,i fear my fists vestigial,img2poems
3614,all shapes breaking hysterical particles and subs who settled,devoting former whir of shape to silence,which was enough,img2poems
3615,it stayed uniform silent for some many months,which strengthened to pull outer space noise in to neutralize,but lost its grip,img2poems
3616,so this sound hard-pressed in to sink holes,and look into original force that was still shut in,under black lacquer cabinetry: our future perfect world,img2poems
3617,it opened the door of dust,the space sound picked up pings distantly,seeing to sound is what and how bounceback,img2poems
3618,since the dust so still and small,the waves skinnied high-pitched,to switch on resistance of an average mote,img2poems
3619,what would stand to receive,what was the point of pointing out resisting decay,what was there to say,img2poems
3620,so sound deranged to be,needle pierce to dust piece,and sunned a word heard first by the bygone,img2poems
