,0,1,2,haiku,lang
3745,state lockdown,resisting the tyranny,of cupcakes,"state lockdown
resisting the tyranny
of cupcakes",en
3747,lockdown,sometimes the old teapot,seems heavier,"lockdown
sometimes the old teapot
seems heavier",en
3749,snuffed candle smoke,the shades of family ghosts,filling photographs ,"snuffed candle smoke
the shades of family ghosts
filling photographs ",en
3750,abandoned church,a whisper of wings,from the shadows,"abandoned church
a whisper of wings
from the shadows",en
3752,lost in the crowd,the emptiness,in a beggar's bowl,"lost in the crowd
the emptiness
in a beggar's bowl",en
3754,summer’s end,a marsh heron lifts,into dusk,"summer’s end
a marsh heron lifts
into dusk",en
3756,history repeats,the old station clock,aligns its hands,"history repeats
the old station clock
aligns its hands",en
3758,night train,I travel alone,with the crowd,"night train
I travel alone
with the crowd",en
3760,funeral morning ,my battle-scarred tomcat,brings me a purr,"funeral morning 
my battle-scarred tomcat
brings me a purr",en
3762,another noon,still standing,in my father’s shadow,"another noon
still standing
in my father’s shadow",en
3765,lighting cigarettes,from each other's cigarettes,the slow setting sun ,"lighting cigarettes
from each other's cigarettes
the slow setting sun ",en
3766,hailstones,against the windscreen,our silence,"hailstones
against the windscreen
our silence",en
3768,small white butterflies ,she starts to think,it might be too late,"small white butterflies 
she starts to think
it might be too late",en
3770,sunlight,on grandfather’s whiskers,we close the lid,"sunlight
on grandfather’s whiskers
we close the lid",en
3772,in the rest home lounge ,the quiet piano,its line of cracked keys,"in the rest home lounge 
the quiet piano
its line of cracked keys",en
3774,evening breeze,winding through war graves,the scent of mown grass,"evening breeze
winding through war graves
the scent of mown grass",en
3776,transit camp ,dust tracks deepening,on the child’s face ,"transit camp 
dust tracks deepening
on the child’s face ",en
3777,gliding back and forth,through the office aquarium,goldfish and workers,"gliding back and forth
through the office aquarium
goldfish and workers",en
3779,in the old folder,of accountancy reports,a pressed wild flower,"in the old folder
of accountancy reports
a pressed wild flower",en
3781,white satin ,cool against her skin,choosing a coffin,"white satin 
cool against her skin
choosing a coffin",en
3783,fortieth birthday,fastening my old belt,at a new hole,"fortieth birthday
fastening my old belt
at a new hole",en
3785,abandoned steelworks,a small weed,cracking concrete,"abandoned steelworks
a small weed
cracking concrete",en
3787,thunderstorm downpour,thrashing against the window,her sweat on my lips,"thunderstorm downpour
thrashing against the window
her sweat on my lips",en
3789,darkening skies,cattle clatter down the ramp,into the abattoir ,"darkening skies
cattle clatter down the ramp
into the abattoir ",en
3790,electric storm,out of a dark horizon,a raven's eye ,"electric storm
out of a dark horizon
a raven's eye ",en
3791,summer thunderstorm,filling air with tension,she crosses her thighs,"summer thunderstorm
filling air with tension
she crosses her thighs",en
3793,taking the old road,to my father's stone,the slow tilt of stars,"taking the old road
to my father's stone
the slow tilt of stars",en
3795,nude in the sauna,the young woman pours water,on stony silence,"nude in the sauna
the young woman pours water
on stony silence",en
3797,silent ,as a mouse,the trap,"silent 
as a mouse
the trap",en
3799,kissing the widow,along her silver neck chain,the glint of his ring,"kissing the widow
along her silver neck chain
the glint of his ring",en
3801,how slowly,the coffee drips,morning rain,"how slowly
the coffee drips
morning rain",en
3803,packing away,the baby blankets,late frost,"packing away
the baby blankets
late frost",en
3805,wishing ,she wasn't cremated,Mother's Day ,"wishing 
she wasn't cremated
Mother's Day ",en
3806,chemo patient,seeking inspiration,in a bookstore,"chemo patient
seeking inspiration
in a bookstore",en
3808,Just before; ,The dish hits the floor ,The silence ,"Just before; 
The dish hits the floor 
The silence ",en
3810,One just sits;,And blue dawn light floods,his poor house.,"One just sits;
And blue dawn light floods
his poor house.",en
3811,"Soprano, clear and cool,",and pale violin float;,Above the freeway noise.,"Soprano, clear and cool,
and pale violin float;
Above the freeway noise.",en
3813,the winter sun ,in the cancer ward -,a quiet old couple,"the winter sun 
in the cancer ward -
a quiet old couple",en
3815,old pond -,another lily,in bloom,"old pond -
another lily
in bloom",en
3817,no real reason,for a small sadness,late white roses,"no real reason
for a small sadness
late white roses",en
3819,between downpours,orchestral swell through,a half open window,"between downpours
orchestral swell through
a half open window",en
3821,through a wine glass,the swaying of,feathery grass heads ,"through a wine glass
the swaying of
feathery grass heads ",en
3822,wild poppies,gusts of music from,the midsummer fair,"wild poppies
gusts of music from
the midsummer fair",en
3824,shadows. a window ledge,just big enough to hold,two doves,"shadows. a window ledge
just big enough to hold
two doves",en
3826,half moon,only broken crackers,in the tin,"half moon
only broken crackers
in the tin",en
3828,revision notes,brushing sand,into the gaps,"revision notes
brushing sand
into the gaps",en
3830,the first dusk of may,it's suddenly there,a pale orange poppy,"the first dusk of may
it's suddenly there
a pale orange poppy",en
3832,dandelions . . .,two drinkers unzip,by the path ,"dandelions . . .
two drinkers unzip
by the path ",en
3833,scrunched-up clouds,a blue plastic bag,in the nettles,"scrunched-up clouds
a blue plastic bag
in the nettles",en
3835,early spring,one morning the clang of,scaffolding poles ,"early spring
one morning the clang of
scaffolding poles ",en
3836,platform 9:,through the glass roof the shapes,of swooping gulls ,"platform 9:
through the glass roof the shapes
of swooping gulls ",en
3837,sneaking out,thru' the bathroom window,steam meets fog,"sneaking out
thru' the bathroom window
steam meets fog",en
3839,in my rear view mirror,the moon,on full beam,"in my rear view mirror
the moon
on full beam",en
3841,hard frost,wrapping myself up against,the breakfast news,"hard frost
wrapping myself up against
the breakfast news",en
3843,winter bleak,under the rail bridge,graffiti blooms,"winter bleak
under the rail bridge
graffiti blooms",en
3847,christmas lights . . .,high above the street a skein,of twilight geese,"christmas lights . . .
high above the street a skein
of twilight geese",en
3849,in the walled garden,the scent,of decaying apples,"in the walled garden
the scent
of decaying apples",en
3851,another day,another apple crumble,. . . autumn deepens ,"another day
another apple crumble
. . . autumn deepens ",en
3853,autumn days,the weight of my life's,unpicked apples,"autumn days
the weight of my life's
unpicked apples",en
3855,hindsight,a field of,cut stalks,"hindsight
a field of
cut stalks",en
3857,tree burl,summer reveals,my old scars,"tree burl
summer reveals
my old scars",en
3859,our shadows,leaning on the railings,on the pond,"our shadows
leaning on the railings
on the pond",en
3861,wind chime,my phone picks up,a wifi hotspot,"wind chime
my phone picks up
a wifi hotspot",en
3863,fallen apples,the constellation of,the gardener,"fallen apples
the constellation of
the gardener",en
3868,forget-me-nots,our white dog shakes off,pale blue stars ,"forget-me-nots
our white dog shakes off
pale blue stars ",en
3869,remembering you,cold and warm,on the same breeze,"remembering you
cold and warm
on the same breeze",en
3871,day break,half a pale blue,egg shell ,"day break
half a pale blue
egg shell ",en
3872,good friday,the outstretched arms,of the espalier pear,"good friday
the outstretched arms
of the espalier pear",en
3874,how high into,the hillside cemetery,the fog tide rolls ,"how high into
the hillside cemetery
the fog tide rolls ",en
3876,Exposed roots.,The tree outside her,childhood home,"Exposed roots.
The tree outside her
childhood home",en
3878,Punctuation.,A rose petal falls,from the vase,"Punctuation.
A rose petal falls
from the vase",en
3883,all the suns,that we can muster,winter celandine,"all the suns
that we can muster
winter celandine",en
3887,work done,my shadow reaches,the sunlit laurels,"work done
my shadow reaches
the sunlit laurels",en
3890,the window cleaner's ladder,leaves two small holes,in the planet,"the window cleaner's ladder
leaves two small holes
in the planet",en
3892,"Oh, a cold rain",again fills the river,with circles,"Oh, a cold rain
again fills the river
with circles",en
3894,Moss on the roof,tiles. First one cat,then another,"Moss on the roof
tiles. First one cat
then another",en
3896,year's end,there's a hearse,in the fast lane,"year's end
there's a hearse
in the fast lane",en
3898,geminids a couple,of white pills before,i go to bed,"geminids a couple
of white pills before
i go to bed",en
3900,double whisky,everything glistens,in the mist,"double whisky
everything glistens
in the mist",en
3902,overcast,until a white moth lands,on my phone screen,"overcast
until a white moth lands
on my phone screen",en
3904,wind chime,a text brings news,of his death,"wind chime
a text brings news
of his death",en
3906,frost burn,high windows blaze,with sunlight,"frost burn
high windows blaze
with sunlight",en
3908,glistening frost,the slow blue arc,of a buzzard,"glistening frost
the slow blue arc
of a buzzard",en
3910,roadkill pheasant,all the blustery colours,of autumn,"roadkill pheasant
all the blustery colours
of autumn",en
3912,in the hedge,the lighted windows,of a train,"in the hedge
the lighted windows
of a train",en
3916,even after 30 years,the scent of honeysuckle,one summer night,"even after 30 years
the scent of honeysuckle
one summer night",en
3919,monday morning,ant traffic on the main stem,of the rose,"monday morning
ant traffic on the main stem
of the rose",en
3921,full moon,a pear hanging,this side of the wall,"full moon
a pear hanging
this side of the wall",en
3923,starless night,the cyclist,without lights,"starless night
the cyclist
without lights",en
3925,"hawk, on a fence post.","first light,",the rain a kind of mist.,"hawk, on a fence post.
first light,
the rain a kind of mist.",en
3927,day moon,the jellyfish we spot,from the end of the pier,"day moon
the jellyfish we spot
from the end of the pier",en
3932,high summer,where the shade stops,so does the dog,"high summer
where the shade stops
so does the dog",en
3935,not long till sundown,into the willows,a yellow frisb e e ,"not long till sundown
into the willows
a yellow frisb e e ",en
3937,another cloudy night,i google,the moon phase,"another cloudy night
i google
the moon phase",en
3939,sunless days,the world locked in,a pine cone,"sunless days
the world locked in
a pine cone",en
3941,easter sunset,a red-tinged cross,of contrails,"easter sunset
a red-tinged cross
of contrails",en
3943,neatly stacked,the scents,of sawn timber,"neatly stacked
the scents
of sawn timber",en
3945,plum blossom,the haiku poet's mind . . .,elsewhere,"plum blossom
the haiku poet's mind . . .
elsewhere",en
