,0,1,2,source
1542,"-- Sole trail, as","time, who peers through grief,",discerns.,gutenberg
1543,"O Caledonia, by thy Burn's brave","song, And deeds of Wallace and Paul Jones for Right, Thy mother knows","thee in the dark of night, And claps thee heart-close.",gutenberg
1544,She cries,"out: ""Be strong, Soul",of my soul!,gutenberg
1545,though not a Boswell,"quite, Still, be whole",man!,gutenberg
1546,remember,Glencoe's,wrong.,gutenberg
1547,"--Still, there's",the blaze!,,gutenberg
1548,There's England's,soul of merciless,intriguing!,gutenberg
1549,'tis the,bagpipes welcoming,the guest.,gutenberg
1550,See the,"assembly,",dance and feast.,gutenberg
1551,"Oh, watch The open heart","and flow of good old Scotch; The English come,","as friends, must have the best.",gutenberg
1552,"There, hospitality","is at top notch,-- And so is",treachery in Britain's breast.,gutenberg
1553,The,cock,crows.,gutenberg
1554,--Is,he,dreaming?,gutenberg
1555,'Tis,dark,still.,gutenberg
1556,"He crows again and now, from farm","to farm, His fellows echo far his dazed alarm",And flap of wings on fences.,gutenberg
1557,with such lamp in hand,"As Glencoe's horror,",thou hast England true.,gutenberg
1558,Why let Froude fiction,haze thy vivid,view?,gutenberg
1559,"Put not thy light out for sound sleep,","but stand And answer, when the mother, whom thou","drew Thy soul from, cries ""Glencoe""!",gutenberg
1560,when,Black,and Taned.,gutenberg
1561,"O Canada,",Long red with cottage,flame From Britain's torch!,gutenberg
1562,thy blasts milk not the cloud To nourish,"hope; instead, they spread the shroud On Human Spirit",answering Freedom's claim.,gutenberg
1563,"Whence comes the cold which icicles with shame, Thy heart's","Niagara, that should thunder loud Unto thy far off soul in sorrow,","bowed O'er Papineau, whom Thraldom could not tame?",gutenberg
1564,Whence comes this,cold to Freedom's,claim?,gutenberg
1565,"we know Only too well,--from creatures of the","King, Who had dragged Hell of every poisonous thing","And, through our country, had spread waste and woe.",gutenberg
1566,"Beaten at last, they flocked like carion crow, On","the dead body of their will to sting, Which drifting Northward, and","enlargening, Loomed Dante's Nimrod, 'mid the Arctic snow.",gutenberg
1567,with Sun-warmth for Truth and,"Human Right, Is",Boreus met.,gutenberg
1568,Who hurles,him down,the deep?,gutenberg
1569,"Look close;--'tis Gladden who, on Freedom's steep, Is as","inspiring, as, on Andes' height, The great Christ Statue, bidding Rancor","sleep And Life's diverging rays in love, beam Light.",gutenberg
1570,why,all this sleigh-bell,rhyming?,gutenberg
1571,God said to Wrong:,"""No further shalt",thou go.,gutenberg
1572,""" This, Monroe","heard and held, then, in",his heart.,gutenberg
1573,"It was this he repeated,","when on chart He made his markings, checking",Freedom's foe.,gutenberg
1574,God never grants to Wrong the right to grow; Because,"He sets its bounds, does not impart His blessing on its growth, more than its","start; His blessing goes to Right, to overthrow.",gutenberg
1575,"Oh, let thine",eyes for migratory,flight Speed southward!,gutenberg
1576,"Passing Prejudice's Lake, Green-crusted with stagnation","which some take For verdure, they will see from Andes' height, How Freedom's battle forms the","red day-break, And tides are swells from thrall, hurled deep from sight.",gutenberg
1577,From South,"to North, no sky",is black but thine.,gutenberg
1578,We seek no,"annexation, but of","Mind, Heart, Spirit.",gutenberg
1579,"Rise, and be one",On the new world's Star-top,of Liberty.,gutenberg
1580,"""The Angels come in","dreams,"" says Holy Writ; And Science says,","""No sleep so deep, but dreams.",gutenberg
1581,whose pure soul and heart embrace Translates,"me into heaven, I draw for breath The joy of",angels who have not known death.,gutenberg
1582,"Child-like, I look up in thy loving","face, Else gaze around and point, and curious place","My hand on Mottoes, hung on high.",gutenberg
1583,"One saith: ""Beware,",for he not with,me scatterith.,gutenberg
1584,""" Its meaning",comes to me with,"growth, like grace.",gutenberg
1585,"Think the tyrant, whose great soul is trade, Whose history,","a crater, belching black And lurid, keeps glad Easter morning back From","half the world--loves thee save to invade, As blackward planned?",gutenberg
1586,"loves thee, along whose track",March Human rights up to,the stars parade?,gutenberg
1587,There where the Tyrant long,"has loomed, wreck-crowned, Are young and old",hurled to the coast and blast.,gutenberg
1588,"Frail are their ships; still,","Sun, why glare aghast, Watching the",billows monstering around?,gutenberg
1589,The soul,of man was not born to,be drowned.,gutenberg
1590,"It mounts and mounts, till, at God's throne, at last,","And freedom welcomes it with arms, sky-vast, As down",it comes to meet Thrall and confound.,gutenberg
1591,"O, deathless spirit, born of hosts","sea-hurled, Who hast out soared night's stars with",agony's cry For justice!,gutenberg
1592,"Thou hast come down from the sky, Heralding doom","to Thrall, whose flag unfurled By steel, or craft, shows, as 'tis hoisted high,",The blood of man and ruin of the world.,gutenberg
1593,What,is,the Truth?,gutenberg
1594,"The thought, the act, or cry,",Recasting the Supreme Intelligence;,All else is false.,gutenberg
1595,"where are stars so dense,",That each has not the freedom,of the sky?,gutenberg
1596,"And, still,","what peace, what glory,",reigns on high!,gutenberg
1597,with the,wisdom of the,"heavens, dispense?",gutenberg
1598,"The Peace, for which our","longings grow intense, Comes through the stars","to earth, and but thereby.",gutenberg
1599,What splits,dark mid-night and gives earth,a thrill?,gutenberg
1600,All stars,merged into one--our Country's,aim.,gutenberg
1601,"It is a lightening, formed by God, to flame Across","the ages and flash bolts to kill The stranglers, who the heart or spirit,","main, Or choke black in the face, a People's Will.",gutenberg
1602,Who is to rise and hurl God's,"flame world-wide, As Lincoln hurled it, setting free a race From",Sphinx-shaped wrong--a beast with human face?,gutenberg
1603,"That shattered, how our","land rose glorified And, from the","stars last laggard, soared, their guide!",gutenberg
1604,"Oh, who can take Promethean","Lincoln's place, To bring light where-so-ever he can trace A","Human, with his rights to soul denied?",gutenberg
1605,"He must be one, not only to illume All ages,","and not leave one region dim, But at no height, allow his senses swim,",Or let mirages lure him with false bloom.,gutenberg
1606,Here one comes with all,the virtues prim To hurl God's,fire and end all human gloom.,gutenberg
1607,'Tis Wilson,takes God's flame from Lincoln's,hand.,gutenberg
1608,Why not hurl them,"and convince The world that,","hence-forth, not one thrall shall stand?",gutenberg
1609,Wilson's arm lacks strength to,"hurl the flame, God gave to Lincoln",for the Human race?,gutenberg
1610,Quenched by,dark,space?,gutenberg
1611,"No; it describes an orbit there, the same","As comets, and regains its heavenly place For","one to hurl it true, and doom Earth's Shame.",gutenberg
1612,In Wilson we beheld,and proudly hailed The World's,Deliverer.,gutenberg
1613,"In him, we saw A",luminous being rise from earth,and draw All lands above the clouds.,gutenberg
1614,We were regaled With justice,"cascades flow, long ice impaled",Upon high mountains.,gutenberg
1615,Was not Nature's,thaw From his heart heat for,"truth, Eternal Law?",gutenberg
1616,His was,the heat of all,"the stars, he scaled.",gutenberg
1617,"Though his ascension was like Christ's, sublime","With lift of continents and every isle, He,","less than Christ, succumbed to Demon Guile.",gutenberg
1618,"Oh, God, that he should drop his mountain","climb Below sea-level, and let earth the while, Fall back",and settle in Primeval Slime!,gutenberg
1619,"Oh, such his truth to God,--so oft avowed,--",A spirit thund'red from a luminous cloud:,"""This man crowns Lincoln's work.",gutenberg
1620,""" Oh, had",he read his bible,where St.,gutenberg
1621,"Paul, Grown man, put off","child things--or, had not smiled, When told, strong Ego","oft, is man grown child!",gutenberg
1622,Who sees not an Epoch's Angel,"Fall From hope for earth, in Wilson's truth, beguiled By",second childhood's toys to play with thrall?,gutenberg
1623,Our Country,still is in the,"womb, dark Time.",gutenberg
1624,It shows life by its brisk and,"robust turns, Which thrill the Mother, Liberty,",who yearns To see her man-child born.,gutenberg
1625,"Oh, how sublime With genius, not of one, but every","climb Where art forms beauty, or the spirit spurns The foul and spurious,--her","desire, that burns Prenatally in him, to form him prime!",gutenberg
1626,"Oh People, all--Italian, Spanish, French,","Dutch, English, Irish, German, Jew, and Greek-- What see","you, as you climb the Future's Peak?",gutenberg
1627,"What looms there, shall wrench From life, all","monsters out from Hell, to seek Dead consciences",and plague earth with their stench.,gutenberg
1628,"Ascend, O",Land of every,Creed and Race!,gutenberg
1629,"Not thy full image, in New England's","brook, Nor in the South's lagoon; though there, a look Delights","us with thy chubby, infant face.",gutenberg
1630,"'Tis seas of joy, that shorelessly replace The Ocean","which, in time of old, forsook The prairies for the cloud, or spring","in nook,-- That show thee, Grown, through God's abundant grace.",gutenberg
1631,"Behold two fleets, the","one with woe for trail, The","other, rapture.",gutenberg
1632,"As they sight the strait, Through which but","one can pass, Greed, urged by Hate, Drives Thraldom's",crafts with help of steam and gale.,gutenberg
1633,They,feel their,way.,gutenberg
1634,"The guns, with which they hale, Raise jets, that look tall","elms from Hope, the gate, To Peace, the Palace; then, their speed is great,","Manoeuvering fast to head off, or assail.",gutenberg
1635,"Drawing the sea up for his driving steam, Greed breaks all","mirrors in his grand state room, That show him dark inevitable","doom, Close hovering, and exults: ""I am Supreme.",gutenberg
1636,When seas lack water for my,"funnel fume, I bid life send its",every crimson stream.,gutenberg
1637,in the darkness lowers,"boat after boat From Freedom's fleet,",and each with lightening oars?,gutenberg
1638,Treasons to God,and country are,the rowers.,gutenberg
1639,They are the Gold and,"Hireling Brain, that gloat On conscience","body with face down, afloat.",gutenberg
1640,"Why hail they Greed, to run on","menial chores From deck to deck,",or to and from all shores?,gutenberg
1641,To ensure,the payment of,a note.,gutenberg
1642,"Meanwhile, brisk Freedom's fleets with justice manned,","And cosmic full momentum for their speed, Confront","the crafts, fired up by fiendish Greed.",gutenberg
1643,A,clash,and--lo!,gutenberg
1644,"they pass the strait and land, Leaving in","smoldering heaps, like autumn's weed, The hulks of",thrall along time's vultured strand.,gutenberg
1645,Are lust for Gold and Power,not hideous spawn Of prehistoric,"reptiles, that had wings?",gutenberg
1646,"Where e'er those crawled, they chawed all greening things And,","when they mounted, how their lengths, full drawn, Basked barren in the sun before","the dawn, Absorbing all its rays from budding Springs?",gutenberg
1647,These drain life's dawn and by,"impoverishings, Draw and reduce","to pulp, frail Consciences.",gutenberg
1648,"Oh, yea, bewinged with legislative crime, They bask","in sunlight e'er the east sky greys, And drag the soul of",man from God's embrace Of rights and freedom.,gutenberg
1649,"Oh, how long a time Shall reptiles,","deadly to the Human race, Be let grow",wings and heavenward trail their slime?,gutenberg
