,0,1,2,haiku,lang
1157,matin de brume,les echos des cris du geai bleu,à travers les pins,"matin de brume
les echos des cris du geai bleu
à travers les pins",fr
1158,fresh brewed coffee,cream and sugar swirls,she stirs in her thoughts,"fresh brewed coffee
cream and sugar swirls
she stirs in her thoughts",en
1159,café nouveau,volutes de crême et de sucre,elle remue ses pensées,"café nouveau
volutes de crême et de sucre
elle remue ses pensées",fr
1160,spring breeze,blowing dandelions,in circles,"spring breeze
blowing dandelions
in circles",en
1161,brise de printermps,elle souffle les pissenlits,en cercles,"brise de printermps
elle souffle les pissenlits
en cercles",fr
1162,dry haystack,flames climb higher,against the night sky,"dry haystack
flames climb higher
against the night sky",en
1163,meule de foin sèche,les flammes grimpent plus haut,sur le ciel nocturne,"meule de foin sèche
les flammes grimpent plus haut
sur le ciel nocturne",fr
1164,rainy morning,the haijin stirs,sugar in his coffee,"rainy morning
the haijin stirs
sugar in his coffee",en
1165,matin pluvieux,le haijin tourne,le sucre dans sa tasse,"matin pluvieux
le haijin tourne
le sucre dans sa tasse",fr
1166,alabaster moon ~,glowing among bare pine tops,in cool mountain mist,"alabaster moon ~
glowing among bare pine tops
in cool mountain mist",en
1167,lune d'albâtre ~,luisant sur les sommets dénudés des pins,dans la brume froide de la montagne,"lune d'albâtre ~
luisant sur les sommets dénudés des pins
dans la brume froide de la montagne",fr
1168,kissing her slowly,where the rain,never falls,"kissing her slowly
where the rain
never falls",en
1169,la baiser doucement,où la pluie,ne tombe jamais,"la baiser doucement
où la pluie
ne tombe jamais",fr
1170,lyrid meteor shower—,a blooming apple tree,at dusk,"lyrid meteor shower—
a blooming apple tree
at dusk",en
1171,pluie de météores lyrides-,un pommier en fleurs,au crépuscule ,"pluie de météores lyrides-
un pommier en fleurs
au crépuscule ",fr
1172,scramble of house sparrows—,a conference call,with my sisters,"scramble of house sparrows—
a conference call
with my sisters",en
1173,(décollage sur alerte de moineaux -,une conférence téléphonique,avec mes soeurs) ,"(décollage sur alerte de moineaux -
une conférence téléphonique
avec mes soeurs) ",fr
1174,negative test—,blooming narcissus,in the trash pile,"negative test—
blooming narcissus
in the trash pile",en
1175,test négatif —,des narcisses en fleurs,dans le tas de déchets  ,"test négatif —
des narcisses en fleurs
dans le tas de déchets  ",fr
1176,alone,at day’s end,driftwood,"alone
at day’s end
driftwood",en
1177,seul,à la fin du jour,bois dérivant ,"seul
à la fin du jour
bois dérivant ",fr
1178,catching up,after forty years—,dust devils,"catching up
after forty years—
dust devils",en
1179,(rattraper le temps,après quarante ans —,tourbillons de poussière) ,"(rattraper le temps
après quarante ans —
tourbillons de poussière) ",fr
1180,another birthday—,watching the long ash ,on the incense,"another birthday—
watching the long ash 
on the incense",en
1181,un autre anniversaire.,en regardant les longues cendres ,sur l'encens ,"un autre anniversaire.
en regardant les longues cendres 
sur l'encens ",fr
1182,blistering heat,a faint breeze moves,mountains,"blistering heat
a faint breeze moves
mountains",en
1183,chaleur étouffante,une légère brise déplace,les montagnes ,"chaleur étouffante
une légère brise déplace
les montagnes ",fr
1184,a magnifying glass,on the map of kyoto—,faraway so close,"a magnifying glass
on the map of kyoto—
faraway so close",en
1185,une loupe,sur la carte de kyoto—,"si loin, si près ","une loupe
sur la carte de kyoto—
si loin, si près ",fr
1186,her blind date—,not enough spice,in the ratatouille ,"her blind date—
not enough spice
in the ratatouille ",en
1187,before the rest ,of the world awakens,iris shoots,"before the rest 
of the world awakens
iris shoots",en
1188,avant que le reste,du monde s’éveille,pousses d’iris ,"avant que le reste
du monde s’éveille
pousses d’iris ",fr
1189,penumbra,around my shadow,hush of dusk,"penumbra
around my shadow
hush of dusk",en
1190,pénombre,autour de mon ombre,silence du crépuscule ,"pénombre
autour de mon ombre
silence du crépuscule ",fr
1191,barbed wire around ,the abandoned orchard—,swollen buds,"barbed wire around 
the abandoned orchard—
swollen buds",en
1192,barbelé autour,du verger abandonné –,bourgeons gonflés ,"barbelé autour
du verger abandonné –
bourgeons gonflés ",fr
1193,standing stock-still :,the deer,& me,"standing stock-still :
the deer
& me",en
1194,cloués sur place :,le cerf,& moi ,"cloués sur place :
le cerf
& moi ",fr
1195,afternoon tea,empty garden pots,fill with snow,"afternoon tea
empty garden pots
fill with snow",en
1196,thé d'après-midi,les pots de fleurs vides du jardin,se remplissent de neige ,"thé d'après-midi
les pots de fleurs vides du jardin
se remplissent de neige ",fr
1197,scattering,wild aster seeds—,autumn rain,"scattering
wild aster seeds—
autumn rain",en
1198,dispersant,les graines d'asters sauvages—,la pluie d'automne ,"dispersant
les graines d'asters sauvages—
la pluie d'automne ",fr
1199,cold rain,i move my coffee,closer,"cold rain
i move my coffee
closer",en
1200,pluie froide,je pose mon café,plus près ,"pluie froide
je pose mon café
plus près ",fr
1201,california poppies--,the faint scent,of asphalt,"california poppies--
the faint scent
of asphalt",en
1202,coquelicots de Californie --,la légère odeur,d'asphalte ,"coquelicots de Californie --
la légère odeur
d'asphalte ",fr
1203,no word,from an ill friend—,leaves falling,"no word
from an ill friend—
leaves falling",en
1204,plus de nouvelles,d'un ami malade—,chute des feuilles ,"plus de nouvelles
d'un ami malade—
chute des feuilles ",fr
1205,thunder moon—,long-awaited rainstorm rips ,through the arroyo ,"thunder moon—
long-awaited rainstorm rips 
through the arroyo ",en
1206,thunderstorm—,clap of skateboards,in the park,"thunderstorm—
clap of skateboards
in the park",en
1207,orage —,les claps des skateboards,dans le parc ,"orage —
les claps des skateboards
dans le parc ",fr
1209,neighbor’s clematis,on my side of the fence,free love,"neighbor’s clematis
on my side of the fence
free love",en
1210,la clématite du voisin,de mon côté de la clôture,amour libre ,"la clématite du voisin
de mon côté de la clôture
amour libre ",fr
1211,the roshi’s ,incense-smoked robe,weight of winter ,"the roshi’s 
incense-smoked robe
weight of winter ",en
1212,leaving the dust,of the world behind—,summer tea,"leaving the dust
of the world behind—
summer tea",en
1213,laissant la poussière,du monde derrière —,thé d'été ,"laissant la poussière
du monde derrière —
thé d'été ",fr
1214,ghost pines,under a crescent moon,summer drought,"ghost pines
under a crescent moon
summer drought",en
1215,pins fantômes,sous un croissant de lune,sécheresse de l'été ,"pins fantômes
sous un croissant de lune
sécheresse de l'été ",fr
1216,typos,in her apology,spring weeds,"typos
in her apology
spring weeds",en
1217,des fautes,dans ses excuses,mauvaises herbes printanières ,"des fautes
dans ses excuses
mauvaises herbes printanières ",fr
1218,sparks when ,i take off my robe,winter drought,"sparks when 
i take off my robe
winter drought",en
1219,étincelles quand ,J'enlève ma robe,sécheresse hivernale ,"étincelles quand 
J'enlève ma robe
sécheresse hivernale ",fr
1220,in the soup line,each man turned,toward the sun,"in the soup line
each man turned
toward the sun",en
1221,dans la file de soupe populaire,chaque homme tourné,vers le soleil ,"dans la file de soupe populaire
chaque homme tourné
vers le soleil ",fr
1222,candles flicker,through my eyelids,zazen,"candles flicker
through my eyelids
zazen",en
1223,les bougies dansent,entre mes paupières,zazen ,"les bougies dansent
entre mes paupières
zazen ",fr
1225,those shells,we collected for her—,high tide,"those shells
we collected for her—
high tide",en
1226,ces coquillages,que nous ramassions pour elle-,marée haute ,"ces coquillages
que nous ramassions pour elle-
marée haute ",fr
1227,deep wrinkles,in the face of an elder—,becoming dusk,"deep wrinkles
in the face of an elder—
becoming dusk",en
1228,rides profondes,dans le visage d'un aîné-,le crépuscule tombe ,"rides profondes
dans le visage d'un aîné-
le crépuscule tombe ",fr
1229,after a lobotomy—,the pumpkin’s ,toothless grin,"after a lobotomy—
the pumpkin’s 
toothless grin",en
1230,après une lobotomie —,de la citrouille,le sourire sans dents ,"après une lobotomie —
de la citrouille
le sourire sans dents ",fr
1231,late summer,morning glories,hold the sky,"late summer
morning glories
hold the sky",en
1232,fin d'été,les belles-de-jour,supportent le ciel ,"fin d'été
les belles-de-jour
supportent le ciel ",fr
1233,nearly rain,something quiet outside,quiet inside ,"nearly rain
something quiet outside
quiet inside ",fr
1234,slow steady rain,the muscles in my back,unknot,"slow steady rain
the muscles in my back
unknot",en
1235,pluie continue,les muscles dans mon dos,se dénouent ,"pluie continue
les muscles dans mon dos
se dénouent ",fr
1236,evening breeze,my neighbor’s bbq,drifts this way,"evening breeze
my neighbor’s bbq
drifts this way",en
1237,brise du soir,le barbecue de mon voisin,dérive par ici ,"brise du soir
le barbecue de mon voisin
dérive par ici ",fr
1238,high winds,a zillion elm seeds,looking for love,"high winds
a zillion elm seeds
looking for love",en
1239,vent fort,un milliard de graines de peuplier,cherchant l'amour ,"vent fort
un milliard de graines de peuplier
cherchant l'amour ",fr
1240,memorial day,another mattress sale,at the strip mall,"memorial day
another mattress sale
at the strip mall",en
1241,memorial day,une autre vente de matelas,sur le mall ,"memorial day
une autre vente de matelas
sur le mall ",fr
1242,released again,as the puddles dry—,apricot petals,"released again
as the puddles dry—
apricot petals",en
1243,dispersés à nouveau,lorsque les flaques s'assèchent—,les pétales d'abricot ,"dispersés à nouveau
lorsque les flaques s'assèchent—
les pétales d'abricot ",fr
1244,garden ghost ,the blooming apple tree,on a starless night,"garden ghost 
the blooming apple tree
on a starless night",en
1245,fantôme au jardin,le pommier en fleurs,par une nuit sans étoiles ,"fantôme au jardin
le pommier en fleurs
par une nuit sans étoiles ",fr
1246,another birthday—,watching the long ash ,on the incense,"another birthday—
watching the long ash 
on the incense",en
1247,un autre anniversaire —,j'observe le long trait de cendre,sur l'encens ,"un autre anniversaire —
j'observe le long trait de cendre
sur l'encens ",fr
1248,amber alert ,the wind trails off,to a whisper ,"amber alert 
the wind trails off
to a whisper ",en
1249,winter wind,lily petals fall,around the vase,"winter wind
lily petals fall
around the vase",en
1250,vent d'hiver,les pétales du lys tombent,autour du vase ,"vent d'hiver
les pétales du lys tombent
autour du vase ",fr
1251,steam rising,through a band of light,winter tea ,"steam rising
through a band of light
winter tea ",en
1252,intermittent rain—,looking through a box,of old letters,"intermittent rain—
looking through a box
of old letters",en
1253,pluie intermittente —,je fouille dans une boite,de vieilles lettres ,"pluie intermittente —
je fouille dans une boite
de vieilles lettres ",fr
1254,after harsh words,we pull our chairs,into the sun,"after harsh words
we pull our chairs
into the sun",en
1255,après des noms d'oiseaux,nous installons nos chaises,au soleil ,"après des noms d'oiseaux
nous installons nos chaises
au soleil ",fr
1256,family dispute,lily dust peppers,the table,"family dispute
lily dust peppers
the table",en
1257,dispute familiale,la poussière des lys crible,la table ,"dispute familiale
la poussière des lys crible
la table ",fr
1258,she bows lower,than all the others—,temple bell,"she bows lower
than all the others—
temple bell",en
1259,elle s'incline plus bas,que tous les autres—,la cloche du temple ,"elle s'incline plus bas
que tous les autres—
la cloche du temple ",fr
1260,a night off ,the hooker plays with herself,in her sleep,"a night off 
the hooker plays with herself
in her sleep",en
1261,(une nuit de repos,la prostituée joue avec elle-même,dans son sommeil) ,"(une nuit de repos
la prostituée joue avec elle-même
dans son sommeil) ",fr
1262,rain shimmer,on fallen leaves—,leftover love,"rain shimmer
on fallen leaves—
leftover love",en
1263,(reflet de la pluie,sur les feuilles mortes—,vestiges d'un amour) ,"(reflet de la pluie
sur les feuilles mortes—
vestiges d'un amour) ",fr
1264,all one can see,in her shaky handwriting—,dark rain,"all one can see
in her shaky handwriting—
dark rain",en
